model,mae_delta_mean,mae_delta_std,mae_pa_mean,mae_pa_std,n_features_mean
ExtraTrees,2.9252,0.2571,2.9252,0.2571,201.6
PM7+bias,5.4437,0.3889,5.4437,0.3889,
