mol,wall_s,n_sites,status
mol_00199,3063.6,2,OK
mol_00200,4753.6,4,OK
mol_00201,3189.2,3,OK
mol_00202,3619.3,4,OK
mol_00203,3445.5,3,OK
mol_00204,1640.2,2,OK
mol_00205,7114.8,4,OK
mol_00206,7076.8,5,OK
mol_00207,2257.4,3,OK
mol_00208,1870.3,2,OK
mol_00209,2458.3,3,OK
mol_00210,2363.7,3,OK
mol_00211,3797.0,3,OK
mol_00212,3791.2,3,OK
mol_00213,4227.3,3,OK
mol_00214,3973.1,4,OK
mol_00215,1390.1,2,OK
mol_00216,3706.0,4,OK
mol_00217,5094.7,5,OK
mol_00218,4661.2,4,OK
mol_00219,1630.4,2,OK
mol_00220,6516.4,5,OK
mol_00221,5447.2,4,OK
mol_00222,2424.3,3,OK
mol_00223,1348.2,2,OK
mol_00224,5660.9,4,OK
mol_00225,3965.1,3,OK
mol_00226,4219.9,4,OK
mol_00227,5652.8,4,OK
mol_00228,4303.5,3,OK
mol_00229,3744.2,3,OK
mol_00230,4886.6,4,OK
mol_00231,9005.5,4,OK
mol_00232,5029.1,5,OK
mol_00233,5970.6,4,OK
mol_00234,3822.3,4,OK
mol_00235,3533.5,4,OK
mol_00236,2865.3,4,OK
mol_00237,4360.3,4,OK
mol_00238,4441.0,5,OK
mol_00239,1898.5,2,OK
mol_00240,4045.8,4,OK
mol_00241,4305.9,5,OK
mol_00242,5787.2,5,OK
mol_00243,1302.2,3,OK
mol_00244,3270.5,3,OK
mol_00245,2344.7,2,OK
mol_00246,5826.9,4,OK
mol_00247,2517.2,3,OK
mol_00248,3253.8,3,OK
mol_00249,1216.9,3,OK
mol_00250,2930.1,3,OK
mol_00251,2526.3,2,OK
