maccs_95,morgan_152,morgan_158,morgan_198,morgan_205,morgan_209,morgan_235,morgan_283,morgan_348,morgan_349,morgan_563,morgan_570,morgan_606,morgan_691,morgan_692,morgan_831,morgan_874,morgan_899,morgan_953,neutral_rdkit_fr_HOCCN,protonated_rdkit_fr_NH1,protonated_rdkit_fr_ester,protonated_rdkit_fr_hdrzine,protonated_pm7_LUMO_eV,protonated_pm7_HOMO_LUMO_gap_eV,protonated_pm7_dipole_debye,protonated_mordred_ATS0Z,protonated_mordred_ATSC4c,protonated_mordred_MATS2c,protonated_mordred_GATS4c,protonated_mordred_MINssNH2,protonated_mordred_PEOE_VSA8,protonated_mordred_MOMI-Z,site_is_S,morgan_45,morgan_82,morgan_203,morgan_379,morgan_413,morgan_488,morgan_506,morgan_671,morgan_765,neutral_rdkit_VSA_EState1,protonated_rdkit_BCUT2D_LOGPLOW,protonated_rdkit_fr_Ar_NH,protonated_mordred_ATSC5i,protonated_mordred_BCUTs-1l,protonated_mordred_NddssS,protonated_mordred_MINssO,protonated_rdkit_fr_priamide
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-4.198,10.1,2.573,553.0,-0.26412226858446364,0.12852516330783834,1.0502353083475517,1.883425925925926,11.21535880699783,393.983195796666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.3468898709577473,0.0,-1.22914436268432,1.2834663748303023,0.0,4.99796910430839,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.206,10.044,4.016,553.0,-0.6273397789183449,0.09431329425666349,1.3643790222976178,1.7558040438397582,6.4208216229260096,418.1131721057293,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.9100772456900805,0.0,1.7713433968390335,1.2469509147939244,0.0,4.99796910430839,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.089,8.757,4.204,553.0,-0.11771423023204931,0.16416383207699028,1.0160190438928514,1.883425925925926,6.4208216229260096,386.1440188247543,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.3493637536659118,0.0,-1.22914436268432,1.2833187338544365,0.0,4.99796910430839,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.009,9.096,14.613,485.0,0.18072063799234406,0.24129110960242128,0.7213175208300565,1.883425925925926,24.725873092148657,253.14718120610905,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.8745370370370371,-2.468460585314334,0.0,0.5465832950138527,1.3525027412281037,0.0,4.99796910430839,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.014,7.755999999999999,3.241,485.0,0.13759144342702687,-0.11031645149359522,0.9410306663633543,1.883425925925926,12.965578028838586,188.04697876583145,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.8745370370370371,-2.155096350643101,1.0,-0.765734592319118,1.3523437327861108,0.0,4.99796910430839,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-3.831,8.389000000000001,7.562,555.0,0.032597567531932554,-0.04121724498543822,0.9098961190442447,1.883425925925926,19.007418857986547,270.27844193973897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0848905022507314,0.0,-10.763857320117213,1.206860427556062,0.0,4.99796910430839,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.346,8.754,5.351,555.0,-0.052001849793814205,0.1021645629404366,1.2046822285894923,2.424981103552532,18.883484074999977,388.2060233167924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.901734430696417,0.0,-8.509657288211859,1.192520718768912,0.0,4.99796910430839,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-5.306,7.158,3.889,727.0,-0.31476150652382995,0.25580754728997945,1.2143950473883904,1.883425925925926,0.0,190.1526452753087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2442452931163084,1.0,-5.917449571520249,1.2180298244913537,0.0,4.99796910430839,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.106,7.407999999999999,7.65,727.0,-0.452464581478597,0.3624569127824117,1.3346077402433234,1.417391975308642,0.0,400.070808974182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8750155453879036,1.0,-5.363531379643528,1.2180286752773017,0.0,4.99796910430839,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-6.25,6.847,11.772,727.0,-0.10100498771165495,0.3619834893382438,1.1062746108714476,1.883425925925926,12.628789148012991,283.22123271003375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2321643425078888,1.0,-8.259969148078637,1.1246315539832574,0.0,4.99796910430839,0.0
