maccs_38,maccs_45,maccs_48,maccs_50,maccs_53,maccs_62,maccs_65,maccs_72,maccs_76,maccs_80,maccs_81,maccs_85,maccs_89,maccs_99,maccs_112,maccs_113,maccs_124,maccs_142,maccs_157,morgan_4,morgan_7,morgan_94,morgan_102,morgan_104,morgan_111,morgan_112,morgan_140,morgan_175,morgan_179,morgan_314,morgan_360,morgan_394,morgan_404,morgan_440,morgan_449,morgan_487,morgan_562,morgan_563,morgan_574,morgan_598,morgan_609,morgan_622,morgan_693,morgan_729,morgan_781,morgan_841,morgan_842,morgan_843,morgan_860,morgan_890,morgan_927,morgan_939,morgan_946,morgan_950,morgan_980,morgan_1005,morgan_1022,neutral_rdkit_PEOE_VSA8,neutral_rdkit_SMR_VSA2,neutral_rdkit_fr_C_S,neutral_rdkit_fr_methoxy,protonated_rdkit_MinPartialCharge,protonated_rdkit_MaxAbsPartialCharge,protonated_rdkit_PEOE_VSA11,protonated_rdkit_PEOE_VSA7,protonated_rdkit_SlogP_VSA12,protonated_rdkit_fr_Al_OH,protonated_rdkit_fr_Al_OH_noTert,protonated_rdkit_fr_Ar_OH,protonated_rdkit_fr_NH1,protonated_rdkit_fr_methoxy,neutral_pm7_LUMO_eV,neutral_pm7_dipole_debye,protonated_pm7_LUMO_eV,protonated_pm7_HOMO_LUMO_gap_eV,protonated_pm7_dipole_debye,neutral_mordred_MATS3dv,neutral_mordred_MATS4d,neutral_mordred_MATS1s,neutral_mordred_MATS8s,neutral_mordred_MATS4v,neutral_mordred_MATS1are,neutral_mordred_GATS1d,neutral_mordred_GATS2m,neutral_mordred_GATS2v,neutral_mordred_RNCS,neutral_mordred_TPSA,neutral_mordred_NaasN,neutral_mordred_NsssP,neutral_mordred_SdO,neutral_mordred_SsSH,neutral_mordred_SssS,neutral_mordred_SddssS,neutral_mordred_MINtsC,neutral_mordred_MINtN,neutral_mordred_BIC3,neutral_mordred_MIC0,neutral_mordred_MDEO-22,protonated_mordred_nBase,protonated_mordred_VR2_A,protonated_mordred_AATS1p,protonated_mordred_ATSC0c,protonated_mordred_ATSC3Z,protonated_mordred_ATSC5i,protonated_mordred_ATSC7i,protonated_mordred_AATSC3Z,protonated_mordred_MATS8c,protonated_mordred_GATS4c,protonated_mordred_BCUTc-1l,protonated_mordred_BCUTdv-1l,protonated_mordred_BCUTs-1l,protonated_mordred_BCUTi-1h,protonated_mordred_PPSA4,protonated_mordred_NtsC,protonated_mordred_NdsssP,protonated_mordred_MAXsssCH,protonated_mordred_n6AHRing,protonated_mordred_nFHRing,protonated_mordred_SRW09,maccs_34,maccs_52,maccs_110,morgan_106,morgan_120,morgan_123,morgan_131,morgan_184,morgan_286,morgan_575,morgan_715,morgan_740,morgan_790,neutral_rdkit_MinEStateIndex,neutral_rdkit_Kappa3,protonated_rdkit_fr_pyridine,neutral_mordred_nBase,neutral_mordred_AATSC2Z,neutral_mordred_GATS2s,neutral_mordred_MDEN-33,protonated_mordred_MATS2c,protonated_mordred_BCUTc-1h,protonated_mordred_NdO,protonated_mordred_MINdsCH,maccs_152,morgan_323,morgan_645,protonated_rdkit_PEOE_VSA13,neutral_mordred_ATSC1s,neutral_mordred_n8FAHRing,protonated_mordred_MINdssC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.563451491696996,0.0,0.0,1.0,-0.49674003825469804,0.49674003825469804,0.0,18.19910120538483,0.0,0.0,0.0,0.0,0.0,1.0,-0.725,3.453,-6.628,6.727,5.161,-0.1692307692307692,-0.27368421052631575,-0.013630188017706098,0.159040308416104,-0.2510200843487031,0.008196721311475157,0.7269736842105263,0.9593178290560388,0.826050766370587,35.009914246350476,64.47198665917307,0.0,0.0,10.219077853363569,0.0,0.0,0.0,1.9666468253968254,8.093993764172335,0.8758435869567088,12.404516052576156,0.4999999999999999,1.0,3.446817394030596,1.7359706561052632,0.9329484931005804,-29.04432132963989,1.2754514984777954,8.377337222504584,-0.9076350415512465,0.18312647373436589,0.8939938802984035,-0.5292473608364157,0.9975778472678641,1.5070381905234433,13.636805536348362,20.33678530999079,0.0,0.0,0.6273148148148147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6382870370370373,1.34501586290279,0.0,0.0,-0.5357142857142857,0.812566131768919,0.4999999999999999,0.0938123229601578,0.6736302792692832,0.0,1.0441666666666667,1.0,0.0,0.0,0.0,-0.4799382716049384,0.0,0.1235185185185188
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.965578028838586,0.0,0.0,0.0,-0.28244036887764734,0.31568283568196437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.304,4.01,-5.194,11.862000000000002,3.663,-0.28440366972477066,0.5555555555555556,-0.012629679747406416,0.159040308416104,0.2652307632528441,-0.10086733054930941,1.1,0.9723026149470192,1.2959368015706174,26.06731765761081,77.9269931371113,0.0,0.0,9.788194444444445,0.0,0.0,0.0,1.9666468253968254,8.093993764172335,0.8446266372619723,16.73058556697811,0.4999999999999999,1.0,2.199900479277109,1.5011147127272721,0.43665861161253294,-25.165289256198356,0.0,0.0,-1.324488908220966,-0.0113474204483487,1.1228860178076265,-0.3058294857148123,1.8544003236994204,1.3263727400394585,14.540275952721545,22.408712866936494,0.0,0.0,0.6273148148148147,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18518518518518556,0.25060486148478145,0.0,0.0,-1.0599999999999998,0.5353518267929634,0.4999999999999999,0.36654749786222596,0.5536187548873137,1.0,1.6579861111111112,0.0,0.0,0.0,0.0,-0.3888888888888893,0.0,0.31018518518518556
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,0.0,0.0,0.0,-0.2868427900145297,0.2868427900145297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,3.142,-6.828,10.551000000000002,1.892,-0.13483146067415724,0.24999999999999983,0.026949592622437103,0.159040308416104,0.09853068229410705,-0.004817825956037237,1.5624999999999998,1.0146018760013127,1.23632868552062,62.538932416899115,52.3992089232551,0.0,0.0,9.17361111111111,0.0,0.0,0.0,1.9666468253968254,8.093993764172335,0.7966576244513051,12.019277675821105,0.4999999999999999,1.0,1.4729982012180178,1.4133173845999993,0.5782215161763758,1.0,1.2130793754962916,0.0,0.058823529411764705,-0.0113474204483487,1.661103369617579,-0.05599234806534149,0.9879936607153648,1.4588223062709844,13.63664967478584,19.571641052413206,0.0,0.0,0.6273148148148147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6388888888888888,1.6699999999999997,0.0,0.0,-1.2799999999999998,0.6889605157131344,0.4999999999999999,0.10139854035306727,0.6489383362630237,0.0,1.125,0.0,0.0,0.0,6.286160523129555,0.7525000000000001,0.0,0.1235185185185188
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.890771566461538,0.0,0.0,0.0,-0.24098698343294464,0.2838324523083037,0.0,12.990104268152233,0.0,0.0,0.0,0.0,1.0,0.0,-0.425,4.044,-4.906,8.494,1.585,-0.39187499999999986,-0.43749999999999994,-0.13306982872200246,0.159040308416104,-0.2083175657395976,0.10978683424379214,0.6316844919786097,0.7004907290662136,0.7996820951097665,3.4490706729089933,23.382083806085003,1.0,0.0,0.0,0.0,0.0,0.0,1.9666468253968254,8.093993764172335,0.8381069070617185,11.331490621948483,0.4999999999999999,1.0,3.777514768860753,1.764183278260869,0.31603245824702186,-98.95454545454544,-5.9753688266825185,11.391463286551549,-2.24896694214876,-0.0113474204483487,1.1033452429655746,-0.3472519916107271,0.995018586085131,1.4830828825855273,14.560194081446404,19.299215334043208,0.0,0.0,0.6273148148148147,0.0,1.0,6.823286122355687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0300925925925928,0.9085545981193528,1.0,0.0,1.7573083287369,0.5575140357749054,0.4999999999999999,0.3212633445945314,0.49572278227083383,0.0,1.6579861111111112,0.0,0.0,0.0,5.647177220767728,-0.916099773242629,0.0,0.1235185185185188
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.126902983393991,0.0,0.0,0.0,-0.2726899788202193,0.3538132969377608,0.0,24.26546827384644,0.0,0.0,0.0,0.0,0.0,0.0,-0.676,3.118,-5.977,7.93,1.291,0.04923076923076923,-0.14973262032085566,-0.053399014778325114,0.12778904665314403,0.0005103592897742337,0.0038461538461541152,0.7305882352941176,0.9542653196093971,1.0590169103632505,104.76944651373545,35.02363124430371,0.0,0.0,11.846296296296297,0.0,0.0,0.0,1.9666468253968254,8.093993764172335,0.6544110417748401,9.34159344584339,0.4999999999999999,1.0,4.543401429226351,2.002082734076922,0.7124830414307821,5.468799999999998,3.0885075684780263,-2.0250084797983665,0.10516923076923074,-0.007498479506300465,1.2783317856411962,-0.28665229711980617,2.734370648729459,1.4677991368727092,13.6366980733096,16.07612435612021,0.0,0.0,0.6273148148148147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07518518518518569,1.7163680610147731,0.0,0.0,-0.9230769230769231,0.6584985895330724,0.4999999999999999,0.08352096632578491,0.6167582049576456,0.0,1.6579861111111112,1.0,0.0,0.0,0.0,-1.8819444444444442,0.0,0.3251851851851857
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33980833718832154,0.33980833718832154,0.0,33.48174361711897,0.0,0.0,0.0,0.0,1.0,0.0,2.906,2.854,-3.989,7.318,12.825,-0.13071664309288067,0.03281853281853279,-0.039914974019839206,-1.2054794520547951,0.09800539472063259,0.21350487597257953,1.3175675675675669,1.2807148997463635,0.8683093392053116,17.95053191522373,13.562892161992584,0.0,0.0,0.0,0.0,0.0,0.0,1.9666468253968254,8.093993764172335,0.5090397837703184,10.148992690358229,0.4999999999999999,2.0,2.819538610241873,1.4131019499999988,0.3965678572090188,-117.31425598335062,6.663756963774203,27.652829129027385,-1.6293646664354253,-0.0381874725522769,0.5497092972212333,-0.3815946714166626,0.9884028387691962,1.2513554334361794,14.54573008189191,18.415642455615377,0.0,0.0,0.6273148148148147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2161111111111111,7.919999999999998,0.0,2.0,-0.462222222222222,1.1310882800608832,0.19999999999999996,-0.13083533898943525,0.4109513562055817,0.0,1.6579861111111112,0.0,0.0,2.0,0.0,-0.18777777777777682,0.0,0.1235185185185188
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.841643245852019,0.0,0.0,0.0,-0.28359233304342035,0.2925407618575535,0.0,12.841643245852019,0.0,0.0,0.0,0.0,0.0,0.0,1.006,3.55,-5.966,9.565,4.236,-0.08013276434329067,-0.23529411764705882,0.027717482050425804,0.159040308416104,-0.25261891583453194,-6.547909937183969e-16,1.2573529411764703,1.1026950618157625,1.3227789951982125,77.69449526645904,46.74009435954355,0.0,0.0,10.683055555555557,0.0,0.0,0.0,1.9666468253968254,8.093993764172335,0.6424690711679245,10.270081603457248,0.4999999999999999,1.0,2.8375819515350624,1.6551876050476186,0.6148433267149876,-23.0,14.60021722406804,0.0,-0.3898305084745763,-0.0113474204483487,1.0387748499191203,-0.16619129519705814,1.82060816415532,1.3206081641553225,13.636692410351131,16.58903616997672,0.0,0.0,0.6273148148148147,0.0,0.0,4.976733742420574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47453703703703765,1.6450481914728035,0.0,0.0,-0.8310256410256411,0.4929550329450147,0.4999999999999999,0.12097152821572074,0.5831438173901806,0.0,1.6579861111111112,1.0,0.0,0.0,5.783244946364939,0.9222222222222227,0.0,0.7245370370370374
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.143015948031568,0.0,0.0,0.0,-0.28378121416475216,0.28378121416475216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.202,2.233,-4.597,9.442,1.075,-0.2981366459627329,-0.13103448275862067,0.04421052631578948,0.159040308416104,0.334337306973755,0.14819189021989776,1.1,1.0809105101746477,0.4730789114219365,5.484845217000917,18.911035758992814,0.0,0.0,0.0,0.0,0.0,0.0,1.9666468253968254,8.093993764172335,0.6521146483360875,11.685310300220962,0.4999999999999999,2.0,2.0651938646270636,1.3158697125,0.3297843004162502,-60.69896193771627,-8.861499052415962,0.0,-2.3345754591429335,-0.0113474204483487,1.0104960498931828,-0.32940389665772996,0.9930511329772649,1.7457414568412026,14.554877626142487,23.457883523202206,0.0,0.0,0.6273148148148147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,3.4699999999999998,0.0,2.0,0.0,1.2126315789473685,0.4999999999999999,0.11727166251806583,0.5009700935025659,0.0,1.875,0.0,0.0,0.0,0.0,0.24609375,0.0,0.1235185185185188
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.658795457051376,0.0,0.0,0.0,-0.2988150707541499,0.42358551561921143,0.0,24.26546827384644,0.0,0.0,0.0,0.0,0.0,0.0,-1.002,4.711,-5.003,9.277,13.881,-0.041300345349761985,0.007017543859649143,-0.0928671468587435,-0.06820228091236498,0.04451206095963523,-0.016260513591483425,1.152,0.5586841477915602,0.6608370566541518,2.273267988633274,40.13700642466082,0.0,0.0,11.35010156840514,0.0,0.0,0.0,1.9666468253968254,8.093993764172335,0.7725986769564436,19.431358176707406,0.4999999999999999,1.0,4.173111506108284,1.677781580230768,1.0750429630083367,-21.090236686390522,-10.003775077784816,26.724259026966507,-0.43041299359980656,-0.5672245184826454,0.8443783960364845,-0.36016907781610236,0.9949488103117643,1.2190345442456927,17.430693069846285,18.818391411612247,0.0,0.0,0.6273148148148147,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.361414635298564,2.7123425488532313,0.0,0.0,2.5646857142857136,0.3862402103698623,0.4999999999999999,0.14697980387841272,0.6545432237002686,0.0,1.6579861111111112,0.0,0.0,0.0,0.0,-12.893055555555554,0.0,-0.06599584278155612
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.019081165045,0.0,0.0,0.0,-0.3035855277874587,0.3879017707388172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.401,4.243,-4.984,10.438,1.805,-0.601494396014944,0.1538461538461538,-0.06334535617673578,0.159040308416104,-0.4062884465874226,0.04192356692633168,1.1538461538461542,0.7675329306539677,0.5856118211285618,3.443585999582699,49.80662359767834,0.0,0.0,10.069444444444445,0.0,0.0,0.0,1.9666468253968254,8.093993764172335,0.6200787307854372,14.36870419050138,0.4999999999999999,1.0,1.9216682964502645,1.3463937850666667,0.7434210558047756,-95.53125,6.610760779393516,0.0,-3.98046875,-0.0113474204483487,0.8646542339957721,-0.36495780026322444,0.9939049768364997,1.5952714785201303,14.544586711703282,22.577500758433978,0.0,0.0,0.6273148148148147,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092592592592593,1.7581844380403455,0.0,0.0,1.6983333333333335,0.5108769161406672,0.4999999999999999,0.2618900668737849,0.6361517038568255,0.0,1.6579861111111112,0.0,0.0,0.0,0.0,-1.9427160493827162,0.0,0.342592592592593
