model,feature,importance
ExtraTrees,protonated_rdkit_EState_VSA9,0.013821
ExtraTrees,maccs_95,0.012904
ExtraTrees,protonated_mordred_AATS1p,0.01289
ExtraTrees,neutral_rdkit_PEOE_VSA13,0.011485
ExtraTrees,neutral_mordred_WNSA1,0.011025
ExtraTrees,protonated_mordred_BCUTi-1l,0.010898
ExtraTrees,protonated_rdkit_fr_Al_OH,0.010571
ExtraTrees,protonated_rdkit_fr_priamide,0.010471
ExtraTrees,protonated_rdkit_VSA_EState1,0.010297
ExtraTrees,neutral_mordred_AATS0p,0.010174
ExtraTrees,morgan_360,0.009928
ExtraTrees,protonated_mordred_SaaN,0.009722
ExtraTrees,maccs_58,0.008982
ExtraTrees,neutral_rdkit_fr_guanido,0.008953
ExtraTrees,protonated_mordred_GATS1c,0.008853
ExtraTrees,protonated_mordred_MATS1dv,0.008783
ExtraTrees,protonated_mordred_NaaN,0.008578
ExtraTrees,maccs_25,0.008262
ExtraTrees,neutral_rdkit_SlogP_VSA11,0.007498
ExtraTrees,protonated_mordred_AATS3i,0.006382
ExtraTrees,morgan_392,0.00604
ExtraTrees,morgan_338,0.005782
ExtraTrees,dft_delta_HOMO_LUMO_gap_eV,0.005461
ExtraTrees,protonated_mordred_NdNH,0.005373
ExtraTrees,neutral_mordred_AATS2p,0.005022
ExtraTrees,morgan_695,0.004773
ExtraTrees,protonated_mordred_ATSC4are,0.004733
ExtraTrees,protonated_rdkit_fr_Ar_OH,0.004099
ExtraTrees,maccs_102,0.004031
ExtraTrees,morgan_983,0.003885
ExtraTrees,neutral_mordred_MAXsOH,0.003717
ExtraTrees,neutral_mordred_StsC,0.003455
ExtraTrees,maccs_73,0.00276
ExtraTrees,protonated_rdkit_fr_Ar_NH,0.002379
ExtraTrees,morgan_114,0.00214
ExtraTrees,maccs_89,0.002099
ExtraTrees,morgan_563,0.001506
ExtraTrees,morgan_730,0.001168
ExtraTrees,morgan_416,0.001012
GradientBoosting,protonated_pm7_LUMO_eV,0.259441
GradientBoosting,protonated_pm7_HOMO_LUMO_gap_eV,0.258208
GradientBoosting,protonated_mordred_nBase,0.038741
GradientBoosting,neutral_mordred_PNSA1,0.036994
GradientBoosting,neutral_mordred_FPSA2,0.032825
GradientBoosting,protonated_rdkit_SlogP_VSA2,0.031872
GradientBoosting,neutral_mordred_ATS0Z,0.030872
GradientBoosting,site_normalized_index,0.020653
GradientBoosting,neutral_mordred_GATS8s,0.020149
GradientBoosting,maccs_86,0.018799
