mol_idx,smiles,pa_pred_kcalmol,pa_kcal,bias,tanimoto_max,lead_label,lead_eligible
aug12_pareto_0030,Nc1nc(=S)[nH]c2sccc12,221.16125,235.18642447418736,-14.025174474187367,0.1956521739130435,,False
aug12_pareto_0028,Cc1ccc(-c2ccn[nH]2)c(=O)[nH]1,222.3466679827916,234.282982791587,-11.936314808795402,0.2558139534883721,Mol-1,True
aug12_pareto_0027,NNc1nnc[nH]1,223.45936121892927,232.90152963671127,-9.442168417782,0.2222222222222222,,False
aug12_pareto_0026,Nc1[nH]ncc1-c1ccsc1,223.04171093690243,229.77055449330783,-6.728843556405394,0.1956521739130435,Mol-2,True
aug12_pareto_0015,Nc1ccc2ncc(=O)[nH]c2n1,222.7762343929254,229.0559273422562,-6.2796929493308085,0.25,Mol-3,True
aug12_pareto_0024,Nc1nn2c(=O)ccnc2[nH]1,222.0790448040153,228.04732313575525,-5.968278331739953,0.21951219512195122,Mol-4,True
aug12_pareto_0002,NNc1ccc2[nH]ncc2c1,222.5200154971319,227.6601338432122,-5.1401183460803,0.18181818181818182,,False
aug12_pareto_0011,Cc1ccc2n[nH]nc2c1N,221.65583364244736,226.57265774378584,-4.916824101338477,0.25,Mol-5,True
aug12_pareto_0023,Cn1cc(-c2n[nH]cc2C=O)cn1,221.06158342256217,226.55592734225615,-5.494343919693989,0.22916666666666666,,True
aug12_pareto_0004,Nc1ccc(-c2nnn[nH]2)cc1,222.57636801147228,226.08030592734224,-3.5039379158699546,0.3333333333333333,,True
aug12_pareto_0007,Oc1ncc(-c2cccs2)[nH]1,222.63265746175907,226.01816443594643,-3.385506974187365,0.21739130434782608,,True
aug12_pareto_0019,CNc1ncn[nH]1,223.83795593212236,225.9703632887189,-2.1324073565965307,0.20454545454545456,,True
aug12_pareto_0009,c1c[nH]c(-c2ccn[nH]2)c1,222.808202791587,225.9440726577438,-3.1358698661567814,0.24324324324324326,,True
aug12_pareto_0003,OCc1c[nH]nc1-c1ccco1,222.5268178967495,225.89388145315485,-3.3670635564053555,0.5,,True
aug12_pareto_0029,NCc1ccc2nn[nH]c2c1,223.83565152963675,225.50430210325047,-1.6686505736137178,0.2127659574468085,,True
aug12_pareto_0010,Cc1n[nH]c2ccc(O)cc12,222.85877528202676,224.45267686424472,-1.593901582217967,0.2619047619047619,,True
aug12_pareto_0013,Cc1c(O)ccc2cn[nH]c12,222.8245746414914,224.13001912045888,-1.3054444789674733,0.24390243902439024,,True
aug12_pareto_0022,O=c1nc(-c2cnoc2)cc[nH]1,223.20279453632887,223.91013384321224,-0.7073393068833695,0.29545454545454547,,True
aug12_pareto_0020,CCn1cnc(-c2nn[nH]n2)cc1=O,223.31806839866152,223.13097514340345,0.18709325525807685,0.22448979591836735,,True
aug12_pareto_0016,NN=C(c1nn[nH]n1)c1nn[nH]n1,222.1827467829829,222.8465583173996,-0.663811534416709,0.17391304347826086,,False
aug12_pareto_0021,Sc1ccc2n[nH]cc2c1,222.6067852581262,222.6099426386233,-0.0031573804971003483,0.225,,True
aug12_pareto_0008,NCc1cc(-c2cn[nH]c2)cs1,221.9263223040153,222.00525812619503,-0.07893582217974426,0.24444444444444444,,True
aug12_pareto_0001,Cc1nn(C)c2nc[nH]c(=O)c12,222.22818855640537,221.53441682600385,0.6937717304015223,0.24444444444444444,,True
aug12_pareto_0018,Cc1nn2ccc(=O)[nH]c2c1C,222.2574584225621,221.30258126195025,0.9548771606118578,0.21739130434782608,,True
aug12_pareto_0012,Cc1cc(=O)n2c(C)n[nH]c2n1,221.9378754063098,220.6548757170172,1.2829996892925806,0.2558139534883721,,True
aug12_pareto_0025,Cc1nnc2oc(=O)[nH]nc1-2,223.88565564053536,220.4684512428298,3.417204397705575,0.18,,True
aug12_pareto_0006,CCc1nccc(=O)[nH]1,222.21787847514332,220.44455066921608,1.773327805927238,0.4166666666666667,,True
aug12_pareto_0005,S=c1[nH]cnc2ccccc12,222.21204246175907,219.83030592734224,2.381736534416831,0.18604651162790697,,True
aug12_pareto_0017,O=c1[nH]c(O)nc2cncn12,223.26405204110893,217.4306883365201,5.833363704588834,0.20408163265306123,,True
aug12_pareto_0014,N#Cc1cnc2[nH]ccn2c1=O,222.5777564340344,210.78393881453152,11.793817619502875,0.2127659574468085,,True
